Address,Neighborhood,House Type,Price,Bath,Crime Index,Minutes to Loop,Miles to Lake,Age,Lot (sqft),SIZE (sqft),School Index
"4637 N Drake Ave #1, Chicago IL",Albany Park,Condo,268000,,4.9,18,4.54,.,.,.,16.7
"4705 N Spaulding Ave, Chicago IL",Albany Park,Single-Family Home,111000,1,3.4,18,4.08,95,3920,1114,21.2
"4827 N Kimball Ave #2, Chicago IL",Albany Park,Condo,205000,,3.1,17,4.19,.,.,.,21.2
"3102 W Argyle St #1, Chicago IL",Albany Park,Condo,55000,,1.7,20,3.61,.,.,.,57.1
"4630 N Central Park Ave, Chicago IL",Albany Park,Multi-Family Home,350000,3,4.9,18,4.65,95,4356,4584,59.5
"4425 N Richmond St, Chicago IL",Albany Park,Single-Family Home,445000,1,1.88,18,3.63,88,3920,1170,37.5
"3650 W Leland Ave #2, Chicago IL",Albany Park,Condo,180000,,5.73,19,4.72,.,.,.,59.5
"4819 N Kimball Ave #2, Chicago IL",Albany Park,Condo,185000,,3.1,17,4.19,.,.,.,21.2
"4904 N Kruger Ave, Chicago IL",Albany Park,Single-Family Home,470000,3,1.7,,6.43,.,3049,2574,36.2
"4614 N Kasson Ave, Chicago IL",Albany Park,Multi-Family Home,152000,2,4.46,17,5.7,86,3920,2553,33.3
"4917 N Ridgeway Ave, Chicago IL",Albany Park,Single-Family Home,330000,1,7.57,19,4.73,87,3920,1479,14.3
"4442 N Sacramento Ave, Chicago IL",Albany Park,Multi-Family Home,354000,2,1.71,17,3.73,96,3920,2440,37.5
"4110 W Argyle St, Chicago IL",Albany Park,Single-Family Home,311000,1,2,19,5.33,88,4792,760,14.3
"4731 N Kiona Ave, Chicago IL",Albany Park,Single-Family Home,231000,1,3.33,18,5.65,87,3920,1350,33.3
"4723 N Avers Ave, Chicago IL",Albany Park,Multi-Family Home,146000,2,6.87,18,5.01,85,3920,2502,59.5
"4614 N Saint Louis Ave, Chicago IL",Albany Park,Multi-Family Home,247000,2,4.4,,4.49,100,4792,2194,16.7
"5040 N Monticello Ave, Chicago IL",Albany Park,Single-Family Home,230000,1,3.4,,4.53,84,3920,1176,36.2
"5014 N Hamlin Ave, Chicago IL",Albany Park,Single-Family Home,210000,1,4.87,19,4.79,87,4356,1396,14.3
"4455 N Albany Ave #1N, Chicago IL",Albany Park,Condo,220000,,1.71,18,3.87,.,.,.,37.5
"3237 W Sunnyside Ave #2E, Chicago IL",Albany Park,Condo,190000,,3.74,17,4.13,.,.,.,37.5
